terrain_x,terrain_y,terrain_z
347060.62051192555,2646529.5078953276,367.0
347090.62051192555,2646529.5078953276,349.0
347120.62051192555,2646529.5078953276,327.0
347150.62051192555,2646529.5078953276,314.0
347180.62051192555,2646529.5078953276,305.0
347210.62051192555,2646529.5078953276,296.0
347240.62051192555,2646529.5078953276,291.0
347270.62051192555,2646529.5078953276,281.0
347300.62051192555,2646529.5078953276,276.0
347330.62051192555,2646529.5078953276,268.0
347360.62051192555,2646529.5078953276,253.0
347390.62051192555,2646529.5078953276,234.0
347420.62051192555,2646529.5078953276,225.0
347450.62051192555,2646529.5078953276,222.0
347480.62051192555,2646529.5078953276,222.0
347510.62051192555,2646529.5078953276,221.0
347540.62051192555,2646529.5078953276,214.0
347570.62051192555,2646529.5078953276,207.0
347600.62051192555,2646529.5078953276,201.0
347630.62051192555,2646529.5078953276,185.0
347660.62051192555,2646529.5078953276,174.0
347690.62051192555,2646529.5078953276,165.0
346130.62051192555,2646499.5078953276,765.0
346160.62051192555,2646499.5078953276,768.0
346190.62051192555,2646499.5078953276,768.0
346220.62051192555,2646499.5078953276,772.0
346250.62051192555,2646499.5078953276,769.0
346280.62051192555,2646499.5078953276,767.0
346310.62051192555,2646499.5078953276,754.0
346340.62051192555,2646499.5078953276,736.0
346370.62051192555,2646499.5078953276,710.0
346400.62051192555,2646499.5078953276,701.0
346430.62051192555,2646499.5078953276,693.0
346460.62051192555,2646499.5078953276,682.0
346490.62051192555,2646499.5078953276,662.0
346520.62051192555,2646499.5078953276,637.0
346550.62051192555,2646499.5078953276,621.0
346580.62051192555,2646499.5078953276,614.0
346610.62051192555,2646499.5078953276,585.0
346640.62051192555,2646499.5078953276,553.0
346670.62051192555,2646499.5078953276,545.0
346700.62051192555,2646499.5078953276,529.0
346730.62051192555,2646499.5078953276,507.0
346760.62051192555,2646499.5078953276,493.0
346790.62051192555,2646499.5078953276,480.0
346820.62051192555,2646499.5078953276,461.0
346850.62051192555,2646499.5078953276,444.0
346880.62051192555,2646499.5078953276,428.0
346910.62051192555,2646499.5078953276,411.0
346940.62051192555,2646499.5078953276,396.0
346970.62051192555,2646499.5078953276,383.0
347000.62051192555,2646499.5078953276,374.0
347030.62051192555,2646499.5078953276,363.0
347060.62051192555,2646499.5078953276,353.0
347090.62051192555,2646499.5078953276,335.0
347120.62051192555,2646499.5078953276,312.0
347150.62051192555,2646499.5078953276,304.0
347180.62051192555,2646499.5078953276,297.0
347210.62051192555,2646499.5078953276,285.0
347240.62051192555,2646499.5078953276,270.0
347270.62051192555,2646499.5078953276,261.0
347300.62051192555,2646499.5078953276,260.0
347330.62051192555,2646499.5078953276,254.0
347360.62051192555,2646499.5078953276,239.0
347390.62051192555,2646499.5078953276,221.0
347420.62051192555,2646499.5078953276,211.0
347450.62051192555,2646499.5078953276,206.0
347480.62051192555,2646499.5078953276,202.0
347510.62051192555,2646499.5078953276,203.0
347540.62051192555,2646499.5078953276,202.0
347570.62051192555,2646499.5078953276,196.0
347600.62051192555,2646499.5078953276,189.0
347630.62051192555,2646499.5078953276,175.0
347660.62051192555,2646499.5078953276,164.0
347690.62051192555,2646499.5078953276,159.0
346130.62051192555,2646469.5078953276,784.0
346160.62051192555,2646469.5078953276,780.0
346190.62051192555,2646469.5078953276,780.0
346220.62051192555,2646469.5078953276,774.0
346250.62051192555,2646469.5078953276,770.0
346280.62051192555,2646469.5078953276,765.0
346310.62051192555,2646469.5078953276,750.0
346340.62051192555,2646469.5078953276,724.0
346370.62051192555,2646469.5078953276,706.0
346400.62051192555,2646469.5078953276,695.0
346430.62051192555,2646469.5078953276,676.0
346460.62051192555,2646469.5078953276,656.0
346490.62051192555,2646469.5078953276,641.0
346520.62051192555,2646469.5078953276,619.0
346550.62051192555,2646469.5078953276,605.0
346580.62051192555,2646469.5078953276,584.0
346610.62051192555,2646469.5078953276,557.0
346640.62051192555,2646469.5078953276,535.0
346670.62051192555,2646469.5078953276,530.0
346700.62051192555,2646469.5078953276,505.0
346730.62051192555,2646469.5078953276,492.0
346760.62051192555,2646469.5078953276,476.0
346790.62051192555,2646469.5078953276,463.0
346820.62051192555,2646469.5078953276,444.0
